WEEK;DATE;ORDER_ID;PROD_NBR;CUST_NBR;t1;t2;QUANTITY;DRIVER_NBR;TRUCK_NBR
41;2020-10-05;923248;3005PMOR;104442;127,32833333333333;127,32833333333333;1,0;1;1
41;2020-10-05;923248;3014P;104442;2801,2233333333334;2801,2233333333334;174,5;22;22
41;2020-10-05;923252;3214P;102884;744,6;744,6;82,0;9;9
41;2020-10-05;923263;3220RP;101927;575,8816666666667;570,5283333333333;87,0;11;11
41;2020-10-05;923334;2520RP;103765;429,88;429,88;25,5;4;4
41;2020-10-05;923419;2514P;001938;36,983333333333334;36,983333333333334;4,0;1;1
41;2020-10-05;923515;3020P;104054;753,7800000000001;753,7800000000001;168,0;18;18
41;2020-10-05;923515;3020RP;104054;41,87666666666667;41,87666666666667;7,0;1;1
41;2020-10-05;923521;3020RP;104831;201,03000000000003;201,03000000000003;65,5;6;6
41;2020-10-05;923785;2520RP;002518;554,6;554,6;45,5;6;6
41;2020-10-05;923786;2520RP;002518;554,6;554,6;46,0;6;6
41;2020-10-05;923823;3520P;104486;180,10166666666666;202,745;18,0;3;3
41;2020-10-05;924023;2010RCHQ;003390;74,1;74,1;30,0;4;4
41;2020-10-05;924062;REM2B-M;104686;210,11;210,11;18,0;3;3
41;2020-10-05;924157;3220RVM;103867;153,66833333333332;153,66833333333332;40,0;5;5
41;2020-10-05;924177;3520RVM;103867;32,2;32,2;5,0;1;1
41;2020-10-05;924307;2010R;000785;30,220000000000002;30,220000000000002;4,0;1;1
41;2020-10-05;924639;2520P;103970;197,65333333333334;197,65333333333334;61,5;8;8
41;2020-10-05;924646;2020P;104284;160,8;160,8;22,5;2;2
41;2020-10-05;924710;2010RCHQ;003390;204,33333333333334;204,33333333333334;14,0;2;2
41;2020-10-05;924925;3220RVM;000785;147,56666666666666;147,56666666666666;32,0;4;4
41;2020-10-05;925001;3020RP;104741;72,49333333333334;72,49333333333334;6,0;2;2
41;2020-10-05;925126;REM3SECANT;104706;336,93333333333334;336,93333333333334;52,0;8;8
41;2020-10-05;925176;3514RPBR;001234;39,18333333333333;39,18333333333333;6,0;1;1
41;2020-10-05;925177;2010R;000785;33,690000000000005;33,690000000000005;2,0;1;1
41;2020-10-05;925183;2520P;104752;261,80500000000006;261,80500000000006;22,5;3;3
41;2020-10-05;925224;2514RPBR;001234;31,435;31,435;3,5;1;1
41;2020-10-05;925253;3520RBOR;104686;170,94;170,94;18,0;3;3
41;2020-10-05;925256;3020P;104896;503,22000000000014;503,22000000000014;97,0;12;12
41;2020-10-05;925257;2514RP;101012;31,923333333333336;31,923333333333336;1,5;1;1
41;2020-10-05;925308;REM3SECANT;104706;126,35;126,35;19,5;3;3
41;2020-10-05;925309;REM3SECANT;104706;213,28833333333336;213,28833333333336;33,0;5;5
41;2020-10-05;925405;3520RBOR;104327;233,48;233,48;24,0;4;4
41;2020-10-05;925412;3014P;COD;67,95833333333333;67,95833333333333;6,0;1;1
41;2020-10-05;925449;REM2B-M;104686;526,74;526,74;19,0;4;4
41;2020-10-05;925517;2520RP;104970;223,20833333333331;223,20833333333331;36,0;5;5
41;2020-10-05;925607;2514RPBR;100088;58,50333333333333;58,50333333333333;12,0;2;2
41;2020-10-05;925775;3014RPBR;104825;85,47666666666667;85,47666666666667;4,5;1;1
41;2020-10-05;925790;3510RP;104256;31,765;31,765;12,0;1;1
41;2020-10-05;925822;2520R;100740;16,45;16,45;2,0;1;1
41;2020-10-05;925832;3014RP;104442;82,73333333333333;82,73333333333333;3,0;1;1
41;2020-10-05;925879;3210RPBR;COD;24,416666666666668;24,416666666666668;6,0;1;1
41;2020-10-05;925886;3210RPBR;COD;31,765;31,765;6,0;1;1
41;2020-10-05;925891;2520P;100637;32,39666666666667;32,39666666666667;5,0;1;1
41;2020-10-05;925914;MTQ4;000858;305,15500000000003;305,15500000000003;48,0;6;6
41;2020-10-05;925958;2020RP;103861;111,31;111,31;21,0;2;2
41;2020-10-05;926160;3020P;104362;65,56;65,56;26,0;3;3
41;2020-10-05;926170;4520P;104500;10,613333333333333;10,613333333333333;4,0;1;1
41;2020-10-05;926200;2014RP;104904;197,15;197,15;83,0;10;10
41;2020-10-05;926228;3220RVM;103685;262,5466666666667;262,5466666666667;56,0;7;7
41;2020-10-05;926238;2020P;104604;127,63333333333334;127,63333333333334;13,5;2;2
41;2020-10-05;926241;2020P;104268;54,975;54,975;7,5;1;1
41;2020-10-05;926301;3220R;102625;30,658333333333335;30,658333333333335;1,0;1;1
41;2020-10-05;926327;3520R;002891;37,53666666666666;37,53666666666666;7,0;1;1
41;2020-10-05;926338;0120RB;000785;73,78333333333333;73,78333333333333;14,0;2;2
41;2020-10-05;926364;2010RPSC;102740;56,03;56,03;7,5;1;1
41;2020-10-05;926369;3520RBOR;103723;192,85333333333335;192,85333333333335;26,0;4;4
41;2020-10-05;926410;5014R;003390;37,656666666666666;37,656666666666666;3,0;1;1
41;2020-10-05;926440;3220R;001460;40,598333333333336;40,598333333333336;6,0;1;1
41;2020-10-05;926453;2510RPSC;104123;56,718333333333334;56,718333333333334;4,0;1;1
41;2020-10-05;926485;3520P;100373;31,765;31,765;12,0;1;1
41;2020-10-05;926499;REM4D-M;104686;53,095;53,095;3,0;1;1
41;2020-10-05;926503;2520P;104490;429,88;429,88;23,0;4;4
41;2020-10-05;926507;3214RPBR;002518;92,43333333333334;92,43333333333334;3,5;1;1
41;2020-10-05;926572;2520;102625;18,285;18,285;1,0;1;1
41;2020-10-05;926592;2010RPSC;102740;85,47666666666667;85,47666666666667;3,0;1;1
41;2020-10-05;926633;3520RP;103907;52,63666666666666;52,63666666666666;5,5;1;1
41;2020-10-05;926640;2010RCHQ;000785;102,16666666666667;102,16666666666667;1,5;1;1
41;2020-10-05;926687;REM4D-M;104706;126,35;126,35;13,0;3;3
