Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH
2023-8-9;1:37:25;cq;20201021;1160.5;0;6219.63;5725.59;55.487;17.5617;0;71;2853.53;565.431;6;2393381;120;20;25;60;0
2023-8-9;1:37:49;cq;20201003;613.5;0;4034.09;4087.34;49.445;22.1267;0;29;199.768;307.768;3;967401;120;20;25;60;0
2023-8-9;1:40:21;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;145.844;0;2;555873;120;20;25;60;0
2023-8-9;1:42:57;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;534140;120;20;25;60;0
2023-8-9;1:43:43;cq;20201005;3172;28;22461.4;21158.2;790.026;58.0889;0;116;100.695;5137.46;8;3005800;120;20;25;60;0
2023-8-9;1:43:59;cq;20201008;4156.5;146;23914.7;22110.9;992.746;57.4317;0;141;448.985;5780.26;8;3021957;120;20;25;60;0
2023-8-9;1:43:59;cq;20201001;3085;89;19365.7;18288.4;944.792;56.6707;0;131;802.581;3542.03;7;3022814;120;20;25;60;0
2023-8-9;1:44:6;cq;20201002;2893.5;0;17232.4;15925;815.728;58.55;0;131;1662.69;1337.49;8;3026174;120;20;25;60;0
2023-8-9;1:44:6;cq;20201006;3670.5;69;23467.6;21943;1045.87;59.7924;0;137;1559.09;5228.02;8;3028637;120;20;25;60;0
2023-8-9;1:44:7;cq;20201013;1565;0;9094.56;8463.18;54.0522;16.2367;0;94;3840.14;164.517;8;3030383;120;20;25;60;0
2023-8-9;1:44:8;cq;20201007;2512.5;0;14410.3;13247.7;37.2181;22.5733;0;127;1983.03;1095.83;8;3026200;120;20;25;60;0
