Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime
2023-8-1;2:0:54;cq;20201028;3089.5;0;22678.5;21242.2;420.276;0;148;180;22731.6;7;4465935
2023-8-1;2:1:35;cq;20201123;2595;0;18706.5;17273.2;48.8764;0;129;180;26432.2;7;3067182
2023-8-1;2:2:35;cq;20201006;3749.5;0;23975.3;22375.7;20.9396;0;141;0;34045.1;8;3051997
2023-8-1;2:2:59;cq;20201112;3684.5;0;22177.2;20564.7;23.6664;0;142;180;29724.8;8;3075922
2023-8-1;2:4:42;cq;20201117;3288.5;0;22242.8;20656.2;516.112;0;142;0;26591.1;7;3179452
2023-8-1;2:4:49;cq;20201030;3524;0;20249.8;18485.1;39.7418;0;153;0;25094.6;8;3680414
2023-8-1;2:8:1;cq;20201007;2512.5;0;13850.3;12554;0;0;128;0;16553.2;8;2840666
2023-8-1;2:11:26;cq;20201117;3288.5;0;22305.4;20753.1;544.447;0;142;0;26936.6;7;3130116
2023-8-1;2:17:20;cq;20201104;3953.5;0;25145.5;23498;108.334;0;153;0;25403.9;8;3602143
2023-8-1;2:20:35;cq;20201123;2595;0;18606.1;17115.7;27.2179;0;130;0;29403.2;7;4132272
2023-8-1;2:31:15;cq;20201116;2939.5;0;20967.5;19100.3;103.877;0;137;0;25869.3;7;4771775
