Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVA;LOCAL_SEARCH;TIME_LIMIT
2023-8-12;2:32:41;cq;20201110;3499.5;0;23748.6;21903.4;956.78;55.8667;0;142;425.838;4099.54;8;3611166;120;20;25;60;1;3600000
2023-8-12;2:32:44;cq;20201106;3350.5;0;23758.4;22270.9;1081.25;56.6141;;141;390.157;3480.49;8;3628889;120;20;25;60;1;3600000
2023-8-12;2:32:51;cq;20201124;2685.5;0;18768.3;17134.4;144.255;56.845;0;128;833.76;3493.69;8;3648117;120;20;25;60;1;3600000
2023-8-12;2:32:51;cq;20201118;3541;;21763.5;20259.6;376.561;51.7333;0;137;895.193;4147.29;8;3613856;120;20;25;60;1;3600000
2023-8-12;2:32:53;cq;20201111;3437.5;0;27589.5;25996.6;205.094;21.675;0;143;999.131;4163.34;8;3633758;120;20;25;60;1;3600000
2023-8-12;2:33:2;cq;20201113;3670.5;0;23930.8;22562.4;503.481;52.5233;0;144;418.48;3021.73;8;3614101;120;20;25;60;1;3600000
2023-8-12;2:33:27;cq;20201030;3513;0;23336.7;21682.7;869.598;59.3821;;148;1776.85;2541.5;8;3653075;120;20;25;60;1;3600000
2023-8-12;2:33:29;cq;20201009;3229;0;20175.9;18685.6;144.4;21.6033;0;128;891.009;4296.12;8;3677713;120;20;25;60;1;3600000
2023-8-12;2:33:55;cq;20201112;3684.5;0;23779.8;22376.8;224.497;56.4648;0;142;791.453;4765.08;8;3651361;120;20;25;60;1;3600000
2023-8-12;2:34:0;cq;20201029;3946.5;0;26835.1;24940.4;296.491;57.1049;0;150;244.954;4736.54;8;3642059;120;20;25;60;1;3600000
